Data,Preços - IPA-10 - geral - índice (ago. 1994 = 100) - - - Fundação Getulio Vargas- Conjuntura Econômica - IGP (FGV/Conj. Econ. - IGP) - IGP12_IPA1012,
1993.09,3.25855,
1993.10,4.43735,
1993.11,5.98513,
1993.12,8.22641,
1994.01,11.0532,
1994.02,15.7574,
1994.03,22.4194,
1994.04,31.0077,
1994.05,44.071,
1994.06,63.3307,
1994.07,89.8769,
1994.08,100,
1994.09,103.372,
1994.10,105.308,
1994.11,108.583,
1994.12,108.943,
1995.01,109.157,
1995.02,110.519,
1995.03,110.885,
1995.04,112.086,
1995.05,112.919,
1995.06,112.373,
1995.07,113.698,
1995.08,116.491,
1995.09,116.427,
1995.10,115.58,
1995.11,116.592,
1995.12,117.47,
1996.01,118.348,
1996.02,119.625,
1996.03,119.721,
1996.04,119.592,
1996.05,121.245,
1996.06,121.78,
1996.07,123.432,
1996.08,124.357,
1996.09,124.605,
1996.10,125.151,
1996.11,125.174,
1996.12,125.84,
1997.01,128.442,
1997.02,129.182,
1997.03,130.79,
1997.04,131.856,
1997.05,132.105,
1997.06,132.506,
1997.07,131.999,
1997.08,132.542,
1997.09,133.085,
1997.10,133.639,
1997.11,134.518,
1997.12,135.582,
1998.01,136.941,
1998.02,137.318,
1998.03,137.318,
1998.04,137.71,
1998.05,137.625,
1998.06,138.23,
1998.07,137.951,
1998.08,137.758,
1998.09,137.497,
1998.10,137.791,
1998.11,137.524,
1998.12,137.556,
1999.01,139.34,
1999.02,145.239,
1999.03,152.897,
1999.04,155.014,
1999.05,154.082,
1999.06,153.556,
1999.07,156.336,
1999.08,159.65,
1999.09,163.153,
1999.10,166.935,
1999.11,171.998,
1999.12,177.708,
2000.01,180.13,
2000.02,181.173,
2000.03,181.086,
2000.04,181.437,
2000.05,181.568,
2000.06,183.282,
2000.07,186.559,
2000.08,192.286,
2000.09,196.668,
2000.10,198.257,
2000.11,199.297,
2000.12,200.213,
2001.01,201.799,
2001.02,202.375,
2001.03,203.109,
2001.04,205.457,
2001.05,207.949,
2001.06,209.573,
2001.07,212.959,
2001.08,217.291,
2001.09,219.047,
2001.10,221.56,
2001.11,225.045,
2001.12,225.44,
2002.01,225.519,
2002.02,225.402,
2002.03,225.54,
2002.04,226.116,
2002.05,227.198,
2002.06,231.839,
2002.07,237.806,
2002.08,245.261,
2002.09,253.478,
2002.10,265.672,
2002.11,282.667,
2002.12,299.36,
2003.01,307.13,
2003.02,315.342,
2003.03,320.823,
2003.04,324.815,
2003.05,323.454,
2003.06,318.639,
2003.07,315.04,
2003.08,314.743,
2003.09,318.718,
2003.10,321.036,
2003.11,322.723,
2003.12,324.726,
2004.01,327.598,
2004.02,330.34,
2004.03,334.588,
2004.04,339.781,
2004.05,345.285,
2004.06,351.384,
2004.07,356.803,
2004.08,360.109,
2004.09,365.878,
2004.10,366.792,
2004.11,370.526,
2004.12,373.784,
2005.01,374.799,
2005.02,375.429,
2005.03,378.05,
2005.04,383.47,
2005.05,381.835,
2005.06,377.627,
2005.07,375.219,
2005.08,372.309,
2005.09,368.914,
2005.10,371.013,
2005.11,372.225,
2005.12,371.614,
2006.01,375.44,
2006.02,375.76,
2006.03,375.323,
2006.04,371.206,
2006.05,372.552,
2006.06,375.417,
2006.07,377.692,
2006.08,378.871,
2006.09,380.562,
2006.10,381.566,
2006.11,387.099,
2006.12,389.264,
2007.01,390.252,
2007.02,390.886,
2007.03,392.48,
2007.04,392.612,
2007.05,392.59,
2007.06,392.21,
2007.07,392.599,
2007.08,395.859,
2007.09,404.009,
2007.10,409.859,
2007.11,413.89,
2007.12,422.787,
2008.01,427.722,
2008.02,431.579,
2008.03,435.167,
2008.04,436.679,
2008.05,445.013,
2008.06,454.868,
2008.07,466.401,
2008.08,467.554,
2008.09,464.068,
2008.10,468.613,
2008.11,472.402,
2008.12,471.366,
2009.01,464.315,
2009.02,466.736,
2009.03,464.098,
2009.04,458.407,
2009.05,458.696,
2009.06,456.895,
2009.07,453.808,
2009.08,449.085,
2009.09,451.165,
2009.10,451.558,
2009.11,451.925,
2009.12,450.812,
2010.01,451.115,
2010.02,456.323,
2010.03,462.442,
2010.04,464.803,
2010.05,471.034,
2010.06,478.929,
2010.07,479.049,
2010.08,482.654,
2010.09,490.512,
2010.10,497.906,
2010.11,505.315,
2010.12,512.698,
2011.01,514.515,
2011.02,520.468,
2011.03,525.643,
2011.04,528.204,
2011.05,529.567,
2011.06,525.931,
2011.07,524.827,
2011.08,526.21,
2011.09,530.038,
2011.10,534.316,
2011.11,536.905,
2011.12,536.767,
2012.01,535.299,
2012.02,534.297,
2012.03,535.574,
2012.04,539.645,
2012.05,546.172,
2012.06,550.137,
2012.07,556.975,
2012.08,569.265,
2012.09,577.242,
2012.10,579.535,
2012.11,576.261,
2012.12,580.054,
2013.01,582.041,
2013.02,582.356,
2013.03,582.996,
2013.04,582.632,
2013.05,580.342,
2013.06,582.845,
2013.07,585.725,
2013.08,586.851,
2013.09,595.407,
2013.10,604.193,
2013.11,606.59,
2013.12,608.888,
2014.01,612.228,
2014.02,612.63,
2014.03,622.729,
2014.04,631.556,
2014.05,630.191,
2014.06,621.279,
2014.07,614.909,
2014.08,609.295,
2014.09,611.437,
2014.10,610.473,
2014.11,616.945,
2014.12,624.162,
2015.01,625.487,
2015.02,625.683,
2015.03,630.401,
2015.04,639.559,
2015.05,642.933,
2015.06,645.114,
2015.07,649.636,
2015.08,651.148,
2015.09,656.475,
2015.10,673.696,
2015.11,688.181,
2015.12,693.688,
2016.01,698.069,
2016.02,709.888,
2016.03,713.894,
2016.04,716.412,
2016.05,720.975,
2016.06,734.586,
2016.07,743.598,
2016.08,739.346,
2016.09,742.257,
2016.10,743.138,
2016.11,742.712,
2016.12,744.339,
2017.01,752.411,
2017.02,752.169,
2017.03,751.246,
2017.04,741.54,
2017.05,728.619,
2017.06,720.076,
2017.07,710.605,
2017.08,707.620459,
2017.09,711.454,
2017.10,716.2207418,
2017.11,717.71,
2017.12,726.485,
2018.01,734.22,
2018.02,734.883,
2018.03,739.539,
2018.04,744.714,
2018.05,756.226,
2018.06,775.145,
2018.07,782.803,
2018.08,787.839,
2018.09,801.724,
2018.10,817.144,
2018.11,814.091,
2018.12,799.226,
2019.01,794.518,
2019.02,797.734,
2019.03,813.122,
2019.04,822.801,
2019.05,829.683,
2019.06,835.679,
2019.07,841.719,
2019.08,834.693,
2019.09,829.963,
2019.10,839.591,
2019.11,841.697,
2019.12,860.737,
2020.01,872.596,
2020.02,870.953,
2020.03,879.007,
2020.04,892.388,
2020.05,894.616,
2020.06,915.681,
2020.07,938.948,
2020.08,970.705,
2020.09,1028.88,
2020.10,1070.69,
2020.11,1119.783,
2020.12,1145.173,
2021.01,1163.516,
2021.02,1208.903,
