Data,PIB - IPCA- 2021.11=1-0 - R$ - Banco Central do Brasil- Boletim- Seção Atividade Econômica (Bacen / Boletim / Ativ. Ec.) - BM12_PIB12,
1979.12,,1.29001159764966E-12,
1980.01,,1.36240131816824E-12,
1980.02,,1.43495267292402E-12,
1980.03,,1.51619369162628E-12,
1980.04,,1.59949658108491E-12,
1980.05,,1.68753007944444E-12,
1980.06,,1.7790851630511E-12,
1980.07,,1.87240119811705E-12,
1980.08,,1.95829465286313E-12,
1980.09,,2.09191258499394E-12,
1980.10,,2.26068455641641E-12,
1980.11,,2.41087805367034E-12,
1980.12,,2.57302741698245E-12,
1981.01,,2.74333885516092E-12,
1981.02,,2.89927111808029E-12,
1981.03,,3.06494362365389E-12,
1981.04,,3.24914222932607E-12,
1981.05,,3.42910148496826E-12,
1981.06,,3.63094383345341E-12,
1981.07,,3.84426634996722E-12,
1981.08,,4.05094373728069E-12,
1981.09,,4.26026248830118E-12,
1981.10,,4.48071029207226E-12,
1981.11,,4.73153947337899E-12,
1981.12,,5.03643456753251E-12,
1982.01,,5.3789459895134E-12,
1982.02,,5.71102258717336E-12,
1982.03,,6.04225758063374E-12,
1982.04,,6.42124231391769E-12,
1982.05,,6.86311986467021E-12,
1982.06,,7.32506046160116E-12,
1982.07,,7.77666656685921E-12,
1982.08,,8.20637548534964E-12,
1982.09,,8.59706896048394E-12,
1982.10,,9.01528047012062E-12,
1982.11,,9.60485723773193E-12,
1982.12,,1.03946360623249E-11,
1983.01,,1.12520806247418E-11,
1983.02,,1.21073726522079E-11,
1983.03,,1.29502115378845E-11,
1983.04,,1.37960025489471E-11,
1983.05,,1.49229036074517E-11,
1983.06,,1.64121121498414E-11,
1983.07,,1.79866505148983E-11,
1983.08,,1.97321280918152E-11,
1983.09,,2.16227086425965E-11,
1983.10,,2.33790900345217E-11,
1983.11,,2.5256135477381E-11,
1983.12,,2.75726010502094E-11,
1984.01,,3.02153812832556E-11,
1984.02,,3.30010222474015E-11,
1984.03,,3.60504336854336E-11,
1984.04,,3.94018018399276E-11,
1984.05,,4.31701881271475E-11,
1984.06,,4.74450225020391E-11,
1984.07,,5.19697485395035E-11,
1984.08,,5.74484689763656E-11,
1984.09,,6.3819907752046E-11,
1984.10,,7.05093567800305E-11,
1984.11,,7.84412500985462E-11,
1984.12,,8.77508098199251E-11,
1985.01,,9.76766168558155E-11,
1985.02,,1.07945563619284E-10,
1985.03,,1.17848903107718E-10,
1985.04,,1.26916702138776E-10,
1985.05,,1.3687069162126E-10,
1985.06,,1.49736102600953E-10,
1985.07,,1.66473439884059E-10,
1985.08,,1.85755242438923E-10,
1985.09,,2.05940601960871E-10,
1985.10,,2.31234540845036E-10,
1985.11,,2.64813660149809E-10,
1985.12,,3.037999588654E-10,
1986.01,,3.44938375688788E-10,
1986.02,,3.74846664468753E-10,
1986.03,,3.85176419343474E-10,
1986.04,,3.89371264664573E-10,
1986.05,,3.94571681871672E-10,
1986.06,,4.00454694008744E-10,
1986.07,,4.10976931043886E-10,
1986.08,,4.21786613630955E-10,
1986.09,,4.29418080054204E-10,
1986.10,,4.45145613616848E-10,
1986.11,,4.8301407027793E-10,
1986.12,,5.43036537464406E-10,
1987.01,,6.13209839492136E-10,
1987.02,,7.02059015769786E-10,
1987.03,,8.26517711546272E-10,
1987.04,,9.94049151373889E-10,
1987.05,,1.19860700964057E-09,
1987.06,,1.37049010751614E-09,
1987.07,,1.46667392114826E-09,
1987.08,,1.55930570193504E-09,
1987.09,,1.70723906676855E-09,
1987.10,,1.93145327147395E-09,
1987.11,,2.21370283255818E-09,
1987.12,,2.57886062652614E-09,
1988.01,,3.02458635708189E-09,
1988.02,,3.52806939355124E-09,
1988.03,,4.17871769177868E-09,
1988.04,,4.94555072124049E-09,
1988.05,,5.91922455451636E-09,
1988.06,,7.21879098286058E-09,
1988.07,,8.78886989234357E-09,
1988.08,,1.09408687196064E-08,
1988.09,,1.38436666113077E-08,
1988.10,,1.75502704920909E-08,
1988.11,,2.25204224439039E-08,
1988.12,,2.99572162317584E-08,
1989.01,,3.79595669997409E-08,
1989.02,,4.23966694701354E-08,
1989.03,,4.56070951967811E-08,
1989.04,,5.1546655244946E-08,
1989.05,,6.34890824400428E-08,
1989.06,,8.1389306910653E-08,
1989.07,,1.06368428302388E-07,
1989.08,,1.44258295625306E-07,
1989.09,,2.00029410492089E-07,
1989.10,,2.87519584884748E-07,
1989.11,,4.30269289056492E-07,
1989.12,,6.85518032287689E-07,
1990.01,170026.235995816,1.17628905226674E-06,
1990.02,189942.640997055,2.10589890663994E-06,
1990.03,261711.838038368,3.05679714756623E-06,
1990.04,205407.775149761,3.40785542070955E-06,
1990.05,214091.342772421,3.73672279149746E-06,
1990.06,190585.521721351,4.19759062899675E-06,
1990.07,189910.288322615,4.73907974101488E-06,
1990.08,185680.155034644,5.38560515426875E-06,
1990.09,178562.027448833,6.16032431819922E-06,
1990.10,196628.910872349,7.12001095764027E-06,
1990.11,202992.058788047,8.3747118490731E-06,
1990.12,179725.567135474,1.0015269550621E-05,
1991.01,173669.108720555,1.20919604843429E-05,
1991.02,170751.510057719,1.4055512593644E-05,
1991.03,164082.170486322,1.52362684659172E-05,
1991.04,191577.324297684,1.61814557717856E-05,
1991.05,203557.677550779,1.76854051555091E-05,
1991.06,207365.946504959,1.97718095430001E-05,
1991.07,204067.969716703,2.2541509117702E-05,
1991.08,203338.73462377,2.60648813901906E-05,
1991.09,182217.433740642,3.07325149138623E-05,
1991.10,198901.240481213,3.77071554800504E-05,
1991.11,196039.149400547,4.69294017451716E-05,
1991.12,179250.638401595,5.85771972341639E-05,
1992.01,178726.923338475,7.32961758379909E-05,
1992.02,181019.777177735,9.00454097012604E-05,
1992.03,180393.427959847,0.000108651408322717,
1992.04,177501.093836192,0.000132956927137471,
1992.05,184787.671858967,0.000162889654364891,
1992.06,190234.683653928,0.000197124936839695,
1992.07,191713.689985519,0.000240462744228031,
1992.08,191115.12073188,0.000296679821998731,
1992.09,191012.850092168,0.000370655691309969,
1992.10,193864.141332029,0.000459084384499816,
1992.11,194157.73221574,0.000568609855194065,
1992.12,175771.962997097,0.000726509494589358,
1993.01,176858.871996586,0.000927293033980028,
1993.02,176920.125362125,0.0011694542923057,
1993.03,197570.955566226,0.00149110986053438,
1993.04,193284.646252425,0.0019044451131378,
1993.05,196223.495234236,0.00245434421308776,
1993.06,191698.837967477,0.00320033238857757,
1993.07,199423.290541588,0.00421916616517032,
1993.08,202837.342755572,0.00566710243973764,
1993.09,206613.822576831,0.0076393727211211,
1993.10,201231.885885845,0.0102931003746345,
1993.11,199214.664591736,0.0140190482750026,
1993.12,181328.311674563,0.0194944736834269,
1994.01,166244.077543732,0.0274463912785087,
1994.02,149156.506502694,0.0388383995832953,
1994.03,153718.763760592,0.0554284967661465,
1994.04,161452.335661546,0.079458745192099,
1994.05,177085.400857053,0.115787071665786,
1994.06,227959.017486519,0.145318225904176,
1994.07,269055.802669592,0.151596804808885,
1994.08,284585.23973739,0.154166112200638,
1994.09,278568.036235181,0.157362634250655,
1994.10,279858.742225195,0.161634757736461,
1994.11,277860.713073771,0.16528497135112,
1994.12,262994.463660057,0.168103158464756,
1995.01,276008.745485087,0.170388079252152,
1995.02,289462.211843881,0.172576930445562,
1995.03,341027.929678038,0.176009924045425,
1995.04,320167.176530604,0.180497890590218,
1995.05,304685.872816453,0.184946218474482,
1995.06,299793.257409887,0.189217731212821,
1995.07,305578.988035783,0.192382664717497,
1995.08,313712.023557636,0.194287421020068,
1995.09,308265.887273072,0.196618576697424,
1995.10,318014.652675978,0.199450243774227,
1995.11,334678.079716693,0.202471880014854,
1995.12,324125.39942857,0.205407228552208,
1996.01,308568.958307213,0.207841062016836,
1996.02,297228.073724453,0.209274309861002,
1996.03,298580.999986006,0.210957160713348,
1996.04,299752.695043448,0.21357305892019,
1996.05,321489.266488993,0.216146251969439,
1996.06,325217.698224485,0.218632012919913,
1996.07,340268.705488066,0.220325580315905,
1996.08,338493.693217584,0.220975461282581,
1996.09,323942.883838885,0.221472992861552,
1996.10,347497.611081868,0.222160088409391,
1996.11,360696.927949269,0.223037940626195,
1996.12,363163.185113445,0.22487714434625,
1997.01,342127.139151014,0.226765407130579,
1997.02,311844.719006164,0.227910866108318,
1997.03,307029.723248406,0.229494393098196,
1997.04,318548.838262206,0.230973688057959,
1997.05,336582.285945071,0.232070442390267,
1997.06,348580.286790809,0.232951784931921,
1997.07,351904.163730213,0.233184794206954,
1997.08,352150.082364664,0.23323152290207,
1997.09,351019.30525615,0.233569204805335,
1997.10,373007.835408591,0.234035834406468,
1997.11,363768.823879532,0.234737268272001,
1997.12,344030.358998773,0.236074514575877,
1998.01,334226.603597225,0.237455364551534,
1998.02,318063.995871128,0.238405166835431,
1998.03,336721.587583463,0.239095748442456,
1998.04,338220.388247819,0.23997991493206,
1998.05,354141.449918849,0.240603013342621,
1998.06,355794.79844979,0.240482436429083,
1998.07,362659.49384431,0.239724869955625,
1998.08,361613.471364325,0.238849785308416,
1998.09,355112.20242239,0.238610499504079,
1998.10,366063.684536968,0.238490742698033,
1998.11,361549.38812999,0.23874055062421,
1998.12,346092.166475219,0.23997018148617,
1999.01,334350.933482201,0.24206990887408,
1999.02,330765.517317814,0.244672118956825,
1999.03,359959.31556469,0.246701769228253,
1999.04,354125.184646367,0.247762666435648,
1999.05,359234.775250932,0.248369607139721,
1999.06,367052.26071022,0.249955959466034,
1999.07,362001.322480458,0.252016758875031,
1999.08,364593.809109621,0.253112910022708,
1999.09,355327.254535061,0.255009428191946,
1999.10,371975.885211222,0.257738213178954,
1999.11,383325.835576291,0.259734906337104,
1999.12,377976.739625338,0.261318990416993,
2000.01,352943.821690811,0.26229840079507,
2000.02,349258.946867427,0.262757477863078,
2000.03,351215.79206098,0.263598340657546,
2000.04,345906.177690167,0.264164695207748,
2000.05,373284.598439667,0.264481846860759,
2000.06,384719.737981904,0.266909622414096,
2000.07,381860.968539878,0.270806415212873,
2000.08,385425.78040955,0.272887298530573,
2000.09,366900.691454182,0.273391689730643,
2000.10,390303.537389775,0.274020319455096,
2000.11,391177.070321187,0.27526664564359,
2000.12,382324.573504931,0.276863187290353,
2001.01,368431.806091259,0.278289491582612,
2001.02,363686.984837529,0.279458172102045,
2001.03,385698.718218942,0.280798962724375,
2001.04,381206.090946562,0.282188565594246,
2001.05,392246.283672811,0.283500965155755,
2001.06,366800.498414047,0.286121203361977,
2001.07,383217.702480526,0.289023443549371,
2001.08,389289.595308697,0.290438535636542,
2001.09,372200.306401576,0.292049195367185,
2001.10,394630.35789762,0.294298189877552,
2001.11,397846.763569973,0.296300009939045,
2001.12,379207.446975063,0.298033967691125,
2002.01,375401.529083286,0.299345610750213,
2002.02,370624.058512023,0.300782146867521,
2002.03,391051.69518298,0.302887575885786,
2002.04,395465.389078923,0.304415767661464,
2002.05,404594.29905621,0.305373803556325,
2002.06,400950.135503508,0.307829799945086,
2002.07,408344.412458174,0.310660795470034,
2002.08,408583.480144737,0.312788221282779,
2002.09,396053.670283788,0.315961722840073,
2002.10,412418.914121953,0.322791694176845,
2002.11,410710.91199274,0.331051832395443,
2002.12,385041.74757646,0.338252152707512,
2003.01,368938.790720447,0.344711651902077,
2003.02,375849.48796277,0.349537791609319,
2003.03,392465.603029064,0.353382561247614,
2003.04,396963.864493185,0.356173729265041,
2003.05,391063.26429171,0.356990320358658,
2003.06,386450.834821076,0.357078799076446,
2003.07,407690.43385161,0.35804273998033,
2003.08,402223.608281144,0.360046991321243,
2003.09,410417.766916428,0.36197214637214,
2003.10,426660.797893161,0.36311257271589,
2003.11,421319.975596855,0.36467390320704,
2003.12,419069.460438363,0.367006939229401,
2004.01,391206.184782467,0.369520231589342,
2004.02,384537.023256406,0.371515072307462,
2004.03,421801.21292951,0.373075029602388,
2004.04,418860.924914868,0.374716023061593,
2004.05,423072.952657561,0.377000938013402,
2004.06,435049.497266661,0.380053766384781,
2004.07,447334.550737272,0.383093368749532,
2004.08,439372.504979258,0.38504662463571,
2004.09,426105.863653879,0.386529531857806,
2004.10,438720.436731794,0.388713371253902,
2004.11,451646.682899216,0.391725449779246,
2004.12,452324.819182229,0.394544788240113,
2005.01,412092.470637645,0.39685291931432,
2005.02,402524.865665862,0.399233969643503,
2005.03,436286.142397702,0.402187195393544,
2005.04,437564.301056277,0.404921058624507,
2005.05,437322.980203236,0.405870965018834,
2005.06,445151.946674299,0.406337209915302,
2005.07,452057.42940854,0.407190962973083,
2005.08,458656.839237293,0.408249880916144,
2005.09,442244.583821306,0.410494343269002,
2005.10,457890.412577147,0.413162177681818,
2005.11,469337.289179313,0.415041601191798,
2005.12,475956.977394347,0.417012481015805,
2006.01,442772.113956765,0.419097757403303,
2006.02,424091.129566651,0.420858130615414,
2006.03,450547.855852113,0.422204428517885,
2006.04,437570.505726685,0.422858939481569,
2006.05,468202.03220727,0.422625888800932,
2006.06,471084.136680921,0.422582474125715,
2006.07,489197.803767099,0.423089389212667,
2006.08,495275.031246669,0.423639365529617,
2006.09,473313.338685779,0.42478287334614,
2006.10,502818.05321435,0.426141620473314,
2006.11,513585.142792094,0.427824291811625,
2006.12,515037.729643909,0.429792396283366,
2007.01,489086.173057456,0.431684050031807,
2007.02,467671.649889766,0.433432516270291,
2007.03,500462.056130322,0.434776018150993,
2007.04,493496.194667127,0.435927981461151,
2007.05,518217.753729034,0.437148087594182,
2007.06,522465.455936386,0.43828467011201,
2007.07,531610.648721758,0.439840888368627,
2007.08,532596.690128728,0.441270297686597,
2007.09,504155.303784309,0.442329374155323,
2007.10,545113.727613749,0.443832887972014,
2007.11,542076.758676469,0.446317603784961,
2007.12,539791.109889508,0.449174125986681,
2008.01,525480.078030441,0.451487525253538,
2008.02,512875.992609544,0.453677698611136,
2008.03,530958.045799463,0.456014184012286,
2008.04,541952.74918387,0.459069172311904,
2008.05,551117.81463034,0.462581490259025,
2008.06,570957.351723658,0.465518482593499,
2008.07,594980.209990668,0.467403109095615,
2008.08,574473.332941103,0.468665096466023,
2008.09,564012.199589199,0.470328833655037,
2008.10,594032.787854996,0.472234034442684,
2008.11,571401.277221661,0.473745528389831,
2008.12,556003.425186999,0.475545271885822,
2009.01,522881.800949998,0.477994069684404,
2009.02,508611.542650454,0.479785611487208,
2009.03,544605.063742318,0.481416199471939,
2009.04,536617.365075631,0.483703131678225,
2009.05,552436.490534864,0.485710130661737,
2009.06,565927.702548668,0.487166821412653,
2009.07,584786.969722051,0.488116553170929,
2009.08,581187.514655865,0.489068317595063,
2009.09,577472.623237198,0.490339954840928,
2009.10,613569.882180854,0.49203181050372,
2009.11,617569.303894717,0.493950716261643,
2009.12,631191.934903957,0.496715472208475,
2010.01,577351.069214395,0.500514878050208,
2010.02,567172.978659204,0.503767299837607,
2010.03,615288.442952972,0.506513007954905,
2010.04,603253.026723735,0.509045933292319,
2010.05,619415.91521725,0.510139297743379,
2010.06,629254.023112775,0.510164716010828,
2010.07,651498.219913964,0.510291801018126,
2010.08,653371.19798732,0.51154014904478,
2010.09,643704.54020078,0.514608612045329,
2010.10,665087.923167024,0.518673979760972,
2010.11,682746.088746073,0.522459968471041,
2010.12,676068.529417631,0.526274163813668,
2011.01,628116.115982645,0.530563683242937,
2011.02,626390.225277466,0.534781652845263,
2011.03,645472.997118217,0.538952987271575,
2011.04,643652.835881241,0.542294355810781,
2011.05,673296.037995178,0.543974981778555,
2011.06,680871.922339842,0.544817883993824,
2011.07,683086.001547059,0.54626108448263,
2011.08,686634.109457262,0.548719171987845,
2011.09,656066.516355116,0.551353545688659,
2011.10,683230.370657297,0.553972739291252,
2011.11,699645.195152007,0.556797649293315,
2011.12,699591.467631142,0.559748250398142,
2012.01,652740.794968136,0.56257461281844,
2012.02,650527.059517649,0.564430479298207,
2012.03,693325.911751372,0.566827942442355,
2012.04,670214.629744185,0.569661244407225,
2012.05,701124.393443592,0.57091338390611,
2012.06,696604.707689643,0.572368368457307,
2012.07,721358.996157004,0.574772619748071,
2012.08,726998.577748583,0.577588887863293,
2012.09,677394.08800176,0.580939082537398,
2012.10,723263.224059275,0.584395951487449,
2012.11,720215.506887213,0.588457754584796,
2012.12,713276.318246627,0.593312702488565,
2013.01,692941.49453663,0.597643240107781,
2013.02,663479.593702079,0.600840483692409,
2013.03,707743.56407277,0.603904891116825,
2013.04,723371.416496406,0.606682528493549,
2013.05,721424.32021518,0.608593566500562,
2013.06,726619.814315201,0.609475534901795,
2013.07,751205.56626281,0.610297527853525,
2013.08,739852.835523811,0.612097674369764,
2013.09,713543.072503697,0.614912703812602,
2013.10,753916.662524289,0.618325636203831,
2013.11,747695.870033076,0.622838534576096,
2013.12,754767.785740583,0.627414827376803,
2014.01,722211.272736856,0.631304186477471,
2014.02,707681.987721321,0.636385845357064,
2014.03,720498.114176957,0.641444843374693,
2014.04,726694.136791424,0.645068504432623,
2014.05,730652.036597265,0.647842031898569,
2014.06,706312.771803631,0.649169204216906,
2014.07,741514.102014418,0.650013261636699,
2014.08,730916.547081849,0.652677657804591,
2014.09,726505.381287616,0.65590787387623,
2014.10,748613.889742425,0.658957450241447,
2014.11,738056.841541748,0.663206913680933,
2014.12,746178.965416179,0.669903231219069,
2015.01,697366.567728658,0.678142489021654,
2015.02,670045.180389275,0.686754734557845,
2015.03,723275.025277172,0.693722557069794,
2015.04,696405.49079813,0.698751814036252,
2015.05,686325.192714672,0.704097277980729,
2015.06,686326.753899827,0.709060949809671,
2015.07,705405.943733262,0.712037096457933,
2015.08,689068.152220393,0.714741638273359,
2015.09,689277.753830559,0.719600621438204,
2015.10,714459.059840418,0.726184226869327,
2015.11,700660.090915038,0.733336758668485,
2015.12,703857.416871229,0.74151197030788,
2016.01,654099.503815348,0.749555682492013,
2016.02,650744.971572033,0.754537831946425,
2016.03,681624.688035828,0.758461231047467,
2016.04,665231.505189134,0.763732168481035,
2016.05,668278.028788698,0.768044852425171,
2016.06,695448.938462647,0.771385604794928,
2016.07,687596.086593669,0.775088471838471,
2016.08,688148.37240866,0.777102470108626,
2016.09,655138.104310957,0.77842365852978,
2016.10,673167.358779906,0.780136905259103,
2016.11,692486.404497218,0.78200914340431,
2016.12,721044.668070126,0.78466775368343,
2017.01,668693.058353248,0.787453516112072,
2017.02,651002.3744944,0.789736750805696,
2017.03,687892.380144999,0.791276245690155,
2017.04,662295.979664883,0.793056452291567,
2017.05,691842.471427595,0.79337092281627,
2017.06,701766.532633132,0.793408596888841,
2017.07,701104.45148921,0.79511433541166,
2017.08,697520.581749115,0.796505098970443,
2017.09,662070.305377171,0.798814258402226,
2017.10,685251.388034885,0.801610488634334,
2017.11,703805.858944907,0.804496428672559,
2017.12,729339.529687316,0.807432993865657,
2018.01,686069.092150809,0.809895980385982,
2018.02,651718.035909006,0.811555720200824,
2018.03,689113.738772028,0.812813137346691,
2018.04,686051.088455653,0.815332574224401,
2018.05,665395.208805546,0.82209263421351,
2018.06,700801.277444621,0.828619779515011,
2018.07,702803.374438346,0.829612977407736,
2018.08,701079.542514237,0.831227649162457,
2018.09,666724.528072312,0.835092420568053,
2018.10,708038.912839702,0.836089499129017,
2018.11,710577.270424584,0.835837177348942,
2018.12,719926.588205328,0.837800978435285,
2019.01,687862.48173683,0.84094221644336,
2019.02,671454.009271499,0.845902313720996,
2019.03,680191.48524674,0.851484637138474,
2019.04,693905.049058443,0.854462726282977,
2019.05,707092.991765208,0.855060659688679,
2019.06,698997.741446283,0.855915498041673,
2019.07,731509.370878799,0.8571998185706,
2019.08,718551.10507523,0.857500038129494,
2019.09,716039.159657482,0.857757416918088,
2019.10,745421.805496894,0.860372067560442,
2019.11,731780.431390328,0.867509122639257,
2019.12,740032.140313698,0.873398687421896,
2020.01,705668.242139143,0.875407398421925,
2020.02,695489.781168017,0.87680770661486,
2020.03,703776.849556056,0.875753870546873,
2020.04,636377.514689259,0.872732595323067,
2020.05,643918.207998992,0.872204564218316,
2020.06,676113.616394525,0.874908130314635,
2020.07,717581.04226316,0.877532798266246,
2020.08,709259.741721514,0.881392617156967,
2020.09,715385.022396257,0.888002795854066,
2020.10,738076.541797038,0.895772948412995,
2020.11,734349.902284567,0.90580348404845,
2020.12,750286.328654222,0.91303636203627,
2021.01,712802.402216666,0.918099318920476,
2021.02,731140.31179863,0.926316315857212,
2021.03,787790.39057426,0.932055034924656,
2021.04,763217.590824596,0.937364794261428,
2021.05,753550.426576114,0.94373816923076,
2021.06,751009.974350915,0.950766733314199,
2021.07,775249.922260465,0.959465945938003,
2021.08,762422.092252521,0.969203289764137,
2021.09,746692.186218038,0.980881698668439,
2021.10,750322.464469299,0.991670428695322,
2021.11,749729.4,1,
2021.12,,,
